Div,Season,Date,HomeTeam,AwayTeam,FTR,outcome,odds,ev,fair_p_open,fair_p_close,win,clv,pnl_gross,pnl_tax,pnl_slip,suspect,ret_primary,ret_stress,stake
SP2,2223,2022-12-08,Ibiza,Santander,H,D,3.1,0.03719930623765033,0.33458042136698396,0.3341143387562235,0.0,0.03575445014429279,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.004428488837815515
SP2,2223,2023-01-22,Cartagena,Tenerife,A,D,3.1,0.05339330168185019,0.339804290865113,0.33997396206091124,0.0,0.05391928238882482,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.006356345438315499
SP2,2223,2023-01-28,Granada,Andorra,H,D,3.4,0.02653019708327342,0.30192064620096276,0.30824760819178315,0.0,0.04804186785206266,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.002763562196174315
SP2,2223,2023-02-04,Huesca,Mirandes,H,D,3.3,0.04405440069644673,0.3163801214231657,0.3267314742875427,0.0,0.07821386514889084,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0047885218148311665
SP2,2223,2023-02-04,Alaves,Eibar,H,D,3.1,0.04227672543879146,0.3362182985286424,0.3377159057788537,0.0,0.04691930791444654,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.005032943504618031
SP2,2223,2023-02-11,Zaragoza,Alaves,A,D,3.0,0.035724028120949214,0.34524134270698303,0.3590226903528239,0.0,0.07706807105847169,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.004465503515118652
SP2,2223,2023-02-19,Huesca,Granada,D,D,3.0,0.05084513600242335,0.35028171200080777,0.3400880989913997,1.0,0.02026429697419907,2.0,1.947,1.98,False,1.98,1.927,0.006355642000302919
SP2,2223,2023-02-25,Sp Gijon,Tenerife,H,D,3.1,0.034756243290421596,0.3337923365452973,0.35360440684345545,0.0,0.09617366121471194,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.004137648010764475
SP2,2223,2023-02-26,Ibiza,Huesca,D,D,3.0,0.023280566895957255,0.3410935222986524,0.3412141304017708,1.0,0.023642391205312308,2.0,1.947,1.98,False,1.98,1.927,0.002910070861994657
SP2,2223,2023-04-09,Huesca,Burgos,H,D,3.0,0.024117073859523774,0.3413723579531746,0.34498298956991963,0.0,0.03494896870975883,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.003014634232440472
SP2,2223,2023-05-06,Tenerife,Levante,H,D,3.1,0.03361580802756414,0.33342445420244005,0.3150673763905578,0.0,-0.023291133189270785,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.00400188190804335
SP2,2223,2023-05-13,Sp Gijon,Oviedo,D,D,3.0,0.02295127426698529,0.3409837580889951,0.3660420871882905,1.0,0.09812626156487148,2.0,1.947,1.98,False,1.98,1.927,0.002868909283373161
SP2,2324,2023-08-13,Burgos,Huesca,D,D,3.1,0.024699142960184384,0.33054811063231754,0.32949718977918036,1.0,0.021441288315459106,2.1,2.047,2.079,False,2.079,2.0260000000000002,0.0029403741619267124
SP2,2324,2023-08-14,Tenerife,Oviedo,H,D,3.2,0.03504583069000056,0.3234518220906252,0.3213554203221212,0.0,0.028337345030787997,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.003982480760227336
SP2,2324,2023-08-26,Tenerife,Zaragoza,A,D,3.1,0.042979571685043405,0.33644502312420754,0.3391498025648071,0.0,0.051364387950902035,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.005116615676790882
SP2,2324,2023-09-10,Valladolid,Elche,D,D,3.3,0.05776794262275553,0.32053574018871384,0.30153417197209,1.0,-0.004937232492103094,2.3,2.247,2.2769999999999997,False,2.2769999999999997,2.2239999999999998,0.0062791241981256015
SP2,2324,2023-09-24,Mirandes,Leganes,A,D,3.0,0.033300375037025765,0.34443345834567524,0.3251029828807157,0.0,-0.024691051357852878,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0041625468796282206
