Div,Season,Date,HomeTeam,AwayTeam,FTR,outcome,odds,ev,fair_p_open,fair_p_close,win,clv,pnl_gross,pnl_tax,pnl_slip,suspect
E1,2223,2023-04-27,Rotherham,Cardiff,A,D,3.0,0.03638253985196438,0.34546084661732146,0.3428444396548082,0.0,0.02853331896442457,-1.0,-1.053,-1.0,False
E1,2324,2023-09-30,Preston,West Brom,A,D,3.5,0.03929426157934812,0.29694121759409947,0.3069137600813264,0.0,0.07419816028464243,-1.0,-1.053,-1.0,False
,2425,2024-10-23,Hull,Burnley,D,D,3.5,0.03491109563538575,0.29568888446725305,0.2921201117264016,1.0,0.022420391042405674,2.5,2.447,2.475,False
,2425,2024-11-02,Preston,Bristol City,A,D,3.4,0.05653071819409661,0.31074432888061665,0.30878141739380915,0.0,0.049856819138951014,-1.0,-1.053,-1.0,False
,2425,2024-11-24,Swansea,Leeds,A,D,3.9,0.03265571275858581,0.26478351609194506,0.2625025143454616,0.0,0.023759805947300316,-1.0,-1.053,-1.0,False
,2425,2024-11-30,Preston,West Brom,D,D,3.5,0.05813082377300516,0.3023230925065729,0.2924524176966597,1.0,0.023583461938308847,2.5,2.447,2.475,False
,2425,2025-01-04,Blackburn,Burnley,A,D,3.4,0.05489658808961462,0.31026370237929846,0.3149646961894639,0.0,0.0708799670441771,-1.0,-1.053,-1.0,False
,2425,2025-01-04,Sheffield Weds,Millwall,D,D,3.4,0.0307532586875765,0.30316272314340487,0.3165761979835798,1.0,0.07635907314417123,2.4,2.347,2.376,False
,2425,2025-01-25,Luton,Millwall,A,D,3.3,0.04064160741424394,0.31534594164068,0.3232946515517366,0.0,0.06687235012073067,-1.0,-1.053,-1.0,False
,2425,2025-02-15,Stoke,Swansea,H,D,3.4,0.035847469924607855,0.30466102056606115,0.28419005680446396,0.0,-0.033753806864822544,-1.0,-1.053,-1.0,False
,2425,2025-02-23,Watford,Luton,H,D,3.5,0.047749784318423805,0.29935708123383536,0.2944878754486831,0.0,0.03070756407039088,-1.0,-1.053,-1.0,False
,2425,2025-04-12,Portsmouth,Derby,D,D,3.25,0.04911783856621632,0.322805488789605,0.33146323452576487,1.0,0.07725551220873594,2.25,2.197,2.2275,False
,2425,2025-04-21,QPR,Swansea,A,D,3.5,0.07485121545188012,0.3071003472719658,0.3088476125637969,0.0,0.08096664397328901,-1.0,-1.053,-1.0,False
,2425,2025-05-03,Derby,Stoke,D,D,3.0,0.03158325760761227,0.3438610858692041,0.3445087838992641,1.0,0.03352635169779239,2.0,1.947,1.98,False
D1,1920,2019-11-02,Dortmund,Wolfsburg,H,D,4.5,0.04177199503881046,0.23150488778640232,0.21800983627105647,0.0,-0.01895573678024587,-1.0,-1.053,-1.0,False
D1,1920,2020-02-14,Dortmund,Ein Frankfurt,H,D,5.5,0.045083763651673214,0.1900152297548497,0.18387705675309102,0.0,0.011323812142000511,-1.0,-1.053,-1.0,False
D1,1920,2020-06-27,Augsburg,RB Leipzig,A,D,5.75,0.0457309949967275,0.18186625999943087,0.18535027519799707,0.0,0.06576408238848308,-1.0,-1.053,-1.0,False
D1,2021,2020-12-05,Bayern Munich,RB Leipzig,D,D,5.75,0.033694876861167566,0.17977302206281176,0.2104848118100557,1.0,0.21028766790782027,4.75,4.697,4.7025,False
D1,2021,2021-01-30,Bayern Munich,Hoffenheim,H,D,8.0,0.044844558554302694,0.13060556981928784,0.12252528646774774,0.0,-0.019797708258018076,-1.0,-1.053,-1.0,False
D1,2021,2021-04-25,M'gladbach,Bielefeld,H,D,4.2,0.04387554043170705,0.24854179534088264,0.24530561338449378,0.0,0.030283576214873875,-1.0,-1.053,-1.0,False
D1,2122,2021-08-28,Bayern Munich,Hertha,H,D,9.0,0.06960132749719294,0.11884459194413255,0.10782530944492187,0.0,-0.029572214995703172,-1.0,-1.053,-1.0,False
D1,2122,2021-11-20,M'gladbach,Greuther Furth,H,D,6.0,0.05012771957562179,0.17502128659593696,0.14976418951748013,0.0,-0.10141486289511925,-1.0,-1.053,-1.0,False
D1,2122,2022-01-22,M'gladbach,Union Berlin,A,D,3.6,0.033654993986086845,0.2871263872183574,0.27049698353582524,0.0,-0.026210859271029063,-1.0,-1.053,-1.0,False
D1,2223,2022-10-22,Dortmund,Stuttgart,H,D,4.75,0.030446665852306376,0.21693614017943294,0.21447795936461034,0.0,0.018770306981899187,-1.0,-1.053,-1.0,False
D1,2324,2024-03-09,Augsburg,Heidenheim,H,D,4.2,0.03427508588779293,0.24625597283042688,0.22412895146334777,0.0,-0.05865840385393928,-1.0,-1.053,-1.0,False
D2,1920,2019-10-21,Bielefeld,Hamburg,D,D,3.8,0.051423727811195086,0.27669045468715664,0.27017573603217737,1.0,0.026667796922273945,2.8,2.747,2.772,False
D2,1920,2019-12-14,Heidenheim,Bielefeld,D,D,3.75,0.05964205978630477,0.2825712159430146,0.2817324290450306,1.0,0.056496608918864766,2.75,2.697,2.7225,False
